,SEID,EpisodeNo,Season,SentimentTotal,LineCountTotal,WordCountTotal,SentimentJerry,LineCountJerry,WordCountJerry,SentimentGeorge,LineCountGeorge,WordCountGeorge,SentimentKramer,LineCountKramer,WordCountKramer,SentimentElaine,LineCountElaine,WordCountElaine,SentimentMainChars,LineCountMainChars,WordCountMainChars,SentimentSecondary,LineCountSecondary,WordCountSecondary,SentimentOther,LineCountOther,WordCountOther
45,S04E07,7,4,0.11164973,363,3513,0.099730636,100,1100,0.087337252,68,706,0.324329062,24,320,0.008800872,46,344,0.112622105,238,2470,0.091629016,27,193,0.11337,98,850
46,S04E08,8,4,0.237595847,338,4093,0.211342764,102,1534,0.175375548,88,912,0.40322338,27,355,0.0965,27,330,0.210517918,244,3131,0.437544574,19,258,0.284746733,75,704
47,S04E09,9,4,0.052231014,299,3305,-0.080206769,94,1433,0.240754734,36,433,0.205220335,55,418,0.096458153,48,509,0.044464662,233,2793,0.051036667,8,60,0.100379425,58,452
48,S04E10,10,4,0.037316643,316,3569,0.033822815,118,1350,0.023521414,76,1004,-0.059688382,34,241,0.108121519,24,474,0.034584881,252,3069,-0.187308333,6,60,0.087001364,58,440
49,S04E11,11,4,0.062182091,339,3568,0.223709345,91,824,0.07144652,77,862,0.214701179,29,424,-0.206680857,66,747,0.06390133,263,2857,0.118974059,16,239,0.023018644,60,472
50,S04E12,12,4,0.152554745,245,2645,0.236063937,53,574,0.289351885,37,557,-0.045354642,33,377,0.222598228,50,508,0.194767312,173,2016,,,,0.017259777,72,629
51,S04E13,13,4,0.070785491,288,3198,0.058123759,79,947,0.184272886,50,745,0.058527059,50,425,0.07953211,46,545,0.097875845,225,2662,0.061216327,10,49,-0.076330801,53,487
52,S04E14,14,4,0.040133246,234,2283,0.056613821,35,246,0.159627447,43,470,0.222688971,15,136,-0.131936222,56,577,0.03016823,149,1429,,,,0.056807728,85,854
53,S04E15,15,4,0.167689927,299,3167,0.066731379,102,972,0.283287084,57,751,0.373079224,18,361,0.256901253,59,479,0.208875849,236,2563,,,,-0.007077483,63,604
54,S04E16,16,4,0.101034672,304,3461,0.138713853,88,859,0.128167107,57,757,0.260345912,23,318,-0.073235345,36,464,0.110503128,204,2398,,,,0.079674976,100,1063
55,S04E17,17,4,0.062636996,204,1884,0.050514433,64,679,0.076412263,66,579,-0.140755952,12,84,-0.033494531,16,128,0.042470204,158,1470,,,,0.13424372,46,414
56,S04E18,18,4,0.06316748,247,2500,0.157296055,62,507,0.256330408,34,490,-0.022311111,34,288,0.046749864,28,367,0.130800605,158,1652,0.062596347,24,219,-0.114264706,65,629
57,S04E19,19,4,0.065658021,275,2880,0.129711312,77,831,-0.109480597,34,402,0.066307872,35,343,0.026791477,44,352,0.049768205,190,1928,,,,0.097838235,85,952
58,S04E20,20,4,0.177315585,378,3266,0.182943993,144,1207,0.200195597,68,636,0.133305714,58,455,0.203845524,42,391,0.181664373,312,2689,,,,0.157048873,66,577
59,S04E21,21,4,0.083097918,238,2305,-0.066022657,65,715,0.242789402,57,585,0.42981018,13,167,-0.077827922,35,308,0.080356563,170,1775,0.046204142,28,169,0.113848476,40,361
60,S04E22,22,4,0.169379025,325,3137,0.222862402,81,891,0.071450549,73,728,0.302315417,51,480,0.161167711,58,415,0.184002546,263,2514,-0.154795918,19,196,0.232083372,43,427
61,S04E23,23,4,0.06238609,347,3501,0.016402199,87,773,-0.180488226,50,603,0.16667265,31,351,0.023983217,44,572,-0.010411048,212,2299,,,,0.201621215,135,1202
62,S04E24,24,4,0.081989488,278,2949,0.137870015,76,657,0.186366066,44,666,-0.269221528,12,144,0.269075719,28,313,0.146153483,160,1780,-0.07525,2,8,-0.015300775,116,1161
63,S05E01,1,5,0.082279514,364,2963,0.15379785,133,1070,0.096439819,64,663,0.071417424,47,396,0.006525547,69,411,0.102152205,313,2540,,,,-0.037050591,51,423
64,S05E02,2,5,0.187696977,297,3573,0.050075035,71,709,0.107748534,67,921,0.353199838,48,619,0.370031818,25,264,0.179490131,211,2513,-0.016379724,35,434,0.362126837,51,626
65,S05E03,3,5,0.068335726,324,2939,0.057274514,96,926,0.116848562,72,591,0.169392326,39,417,-0.14161901,47,505,0.049697704,254,2439,,,,0.159252,70,500
66,S05E04,4,5,0.158106176,347,3044,-0.022237077,80,650,0.234426061,32,330,0.252398481,49,395,0.276591011,61,623,0.167627678,222,1998,0.161660269,58,521,0.118343048,67,525
67,S05E05,5,5,-0.067779904,268,3319,0.05426301,70,711,0.087946912,43,761,-0.078506222,46,450,0.164939039,44,333,0.055479157,203,2255,,,,-0.329010338,65,1064
68,S05E06,6,5,0.201504182,297,3467,0.268608252,79,1030,0.185539336,75,844,0.28371299,42,408,0.069174066,33,455,0.212090172,229,2737,0,3,93,0.185438305,65,637
69,S05E07,7,5,0.110489467,340,3209,0.093349447,74,633,0.089991447,55,456,0.174278743,47,334,0.101892615,63,650,0.108328799,239,2073,0.1945925,34,400,0.070866984,67,736
70,S05E08,8,5,0.113637062,291,2771,-0.100491911,76,717,0.302766046,51,483,0.006710976,35,246,0.273846691,27,272,0.087497381,189,1718,0.103690857,19,175,0.16676754,83,878
71,S05E09,9,5,0.105287562,370,3843,-0.026312124,97,1163,0.208485783,64,830,0.093273278,29,363,0.303871707,57,615,0.122242174,247,2971,,,,0.04752133,123,872
72,S05E10,10,5,0.147707534,339,3252,0.14931108,80,1065,0.118491758,44,364,0.324878512,37,363,0.033284767,60,407,0.151716735,221,2199,0.006102564,35,312,0.195432928,83,741
73,S05E11,11,5,0.124379985,302,2718,0.101876705,76,777,0.052689555,60,584,0.163913575,34,221,0.147077885,38,312,0.101394984,208,1894,0.026242017,16,119,0.202694894,78,705
