# ----------------------------------------
# Cage Code Site Data
# Audience Overview
# 20160401-20180407
# ----------------------------------------

Day Index,Users
10/4/17,"1,101"
10/5/17,"1,024"
10/6/17,708
10/7/17,107
10/8/17,151
10/9/17,865
10/10/17,"1,099"
10/11/17,"1,127"
10/12/17,"1,112"
10/13/17,787
10/14/17,98
10/15/17,151
10/16/17,"1,183"
10/17/17,"1,156"
10/18/17,"1,148"
10/19/17,"1,089"
10/20/17,766
10/21/17,93
10/22/17,172
10/23/17,"1,104"
10/24/17,"1,196"
10/25/17,"1,226"
10/26/17,"1,099"
10/27/17,840
10/28/17,110
10/29/17,192
10/30/17,"1,130"
10/31/17,"1,037"
11/1/17,"1,080"
11/2/17,"1,074"
11/3/17,761
11/4/17,106
11/5/17,177
11/6/17,"1,139"
11/7/17,"1,242"
11/8/17,"1,256"
11/9/17,"1,096"
11/10/17,728
11/11/17,97
11/12/17,214
11/13/17,"1,110"
11/14/17,"1,176"
11/15/17,"1,203"
11/16/17,"1,198"
11/17/17,856
11/18/17,102
11/19/17,179
11/20/17,"1,123"
11/21/17,"1,126"
11/22/17,912
11/23/17,301
11/24/17,286
11/25/17,106
11/26/17,170
11/27/17,"1,076"
11/28/17,"1,179"
11/29/17,"1,219"
11/30/17,"1,131"
12/1/17,805
12/2/17,94
12/3/17,219
12/4/17,"1,045"
12/5/17,"1,155"
12/6/17,"1,206"
12/7/17,"1,182"
12/8/17,770
12/9/17,95
12/10/17,181
12/11/17,"1,151"
12/12/17,"1,092"
12/13/17,"1,147"
12/14/17,"1,066"
12/15/17,715
12/16/17,90
12/17/17,170
12/18/17,"1,016"
12/19/17,"1,037"
12/20/17,986
12/21/17,869
12/22/17,446
12/23/17,59
12/24/17,72
12/25/17,137
12/26/17,381
12/27/17,479
12/28/17,494
12/29/17,344
12/30/17,55
12/31/17,51
1/1/18,116
1/2/18,797
1/3/18,"1,022"
1/4/18,981
1/5/18,782
1/6/18,87
1/7/18,157
1/8/18,"1,138"
1/9/18,"1,311"
1/10/18,"1,229"
1/11/18,"1,196"
1/12/18,844
1/13/18,107
1/14/18,206
1/15/18,988
1/16/18,"1,144"
1/17/18,"1,172"
1/18/18,"1,195"
1/19/18,887
1/20/18,123
1/21/18,177
1/22/18,"1,290"
1/23/18,"1,269"
1/24/18,"1,224"
1/25/18,"1,149"
1/26/18,847
1/27/18,120
1/28/18,258
1/29/18,"1,211"
1/30/18,"1,335"
1/31/18,"1,296"
2/1/18,"1,268"
2/2/18,937
2/3/18,138
2/4/18,226
2/5/18,"1,211"
2/6/18,"1,323"
2/7/18,"1,301"
2/8/18,"1,262"
2/9/18,930
2/10/18,151
2/11/18,205
2/12/18,"1,277"
2/13/18,"1,288"
2/14/18,"1,289"
2/15/18,"1,299"
2/16/18,947
2/17/18,179
2/18/18,215
2/19/18,"1,010"
2/20/18,"1,313"
2/21/18,"1,346"
2/22/18,"1,315"
2/23/18,915
2/24/18,128
2/25/18,234
2/26/18,"1,256"
2/27/18,"1,375"
2/28/18,"1,280"
3/1/18,"1,262"
3/2/18,977
3/3/18,140
3/4/18,228
3/5/18,"1,315"
3/6/18,"1,356"
3/7/18,"1,326"
3/8/18,"1,233"
3/9/18,943
3/10/18,119
3/11/18,197
3/12/18,"1,224"
3/13/18,"1,358"
3/14/18,"1,333"
3/15/18,"1,266"
3/16/18,998
3/17/18,119
3/18/18,234
3/19/18,"1,281"
3/20/18,"1,356"
3/21/18,"1,319"
3/22/18,"1,320"
3/23/18,967
3/24/18,138
3/25/18,218
3/26/18,"1,391"
3/27/18,"1,350"
3/28/18,"1,324"
3/29/18,"1,224"
3/30/18,641
3/31/18,100
4/1/18,123
4/2/18,"1,072"
4/3/18,"1,341"
4/4/18,"1,288"
4/5/18,"1,185"
4/6/18,900
4/7/18,155
,"525,570"
