# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Affinity Categories (reach),,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Affinity Category (reach),Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
News & Politics/News Junkies/Women's Media Fans,"1,486","1,192","2,921",18.79%,3.6,0:04:59,0.00%,0,$0.00 
Media & Entertainment/TV Lovers/Family Television Fans,"1,430","1,136","2,611",17.69%,3.35,0:03:35,0.00%,0,$0.00 
Media & Entertainment/Music Lovers/Blues Fans,"1,027",817,"2,172",18.55%,3.61,0:04:43,0.00%,0,$0.00 
Media & Entertainment/Gamers/Driving & Racing Game Fans,995,815,"1,884",22.93%,3.1,0:03:42,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Swimming Enthusiasts,831,646,"1,434",13.81%,3.93,0:04:52,0.00%,0,$0.00 
Media & Entertainment/Gamers/Sports Game Fans,774,626,"1,656",18.06%,3.24,0:03:43,0.00%,0,$0.00 
Media & Entertainment/TV Lovers/Documentary & Nonfiction TV Fans,620,461,"1,226",19.58%,3.08,0:05:02,0.00%,0,$0.00 
News & Politics/News Junkies/Men's Media Fans,299,226,647,17.00%,3.27,0:03:42,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Australian Football Fans,196,162,474,24.68%,4.15,0:03:44,0.00%,0,$0.00 
,"2,243,597","1,928,862","4,955,028",18.88%,3.62,0:04:23,0.00%,0,$0.00 
,,,,,,,,,
Day Index,Users,,,,,,,,
4/1/2016,352,,,,,,,,
4/2/2016,37,,,,,,,,
4/3/2016,55,,,,,,,,
4/4/2016,464,,,,,,,,
4/5/2016,549,,,,,,,,
4/6/2016,536,,,,,,,,
4/7/2016,518,,,,,,,,
4/8/2016,380,,,,,,,,
4/9/2016,48,,,,,,,,
4/10/2016,55,,,,,,,,
4/11/2016,505,,,,,,,,
4/12/2016,573,,,,,,,,
4/13/2016,511,,,,,,,,
4/14/2016,535,,,,,,,,
4/15/2016,522,,,,,,,,
4/16/2016,38,,,,,,,,
4/17/2016,50,,,,,,,,
4/18/2016,518,,,,,,,,
4/19/2016,484,,,,,,,,
4/20/2016,489,,,,,,,,
4/21/2016,453,,,,,,,,
4/22/2016,342,,,,,,,,
4/23/2016,8,,,,,,,,
4/24/2016,50,,,,,,,,
4/25/2016,488,,,,,,,,
4/26/2016,508,,,,,,,,
4/27/2016,461,,,,,,,,
4/28/2016,505,,,,,,,,
4/29/2016,354,,,,,,,,
4/30/2016,35,,,,,,,,
5/1/2016,59,,,,,,,,
5/2/2016,425,,,,,,,,
5/3/2016,496,,,,,,,,
5/4/2016,496,,,,,,,,
5/5/2016,421,,,,,,,,
5/6/2016,296,,,,,,,,
5/7/2016,38,,,,,,,,
5/8/2016,48,,,,,,,,
5/9/2016,468,,,,,,,,
5/10/2016,510,,,,,,,,
5/11/2016,462,,,,,,,,
5/12/2016,504,,,,,,,,
5/13/2016,385,,,,,,,,
5/14/2016,25,,,,,,,,
5/15/2016,57,,,,,,,,
5/16/2016,459,,,,,,,,
5/17/2016,457,,,,,,,,
5/18/2016,494,,,,,,,,
5/19/2016,454,,,,,,,,
5/20/2016,313,,,,,,,,
5/21/2016,35,,,,,,,,
5/22/2016,57,,,,,,,,
5/23/2016,423,,,,,,,,
5/24/2016,441,,,,,,,,
5/25/2016,431,,,,,,,,
5/26/2016,415,,,,,,,,
5/27/2016,257,,,,,,,,
5/28/2016,30,,,,,,,,
5/29/2016,59,,,,,,,,
5/30/2016,114,,,,,,,,
5/31/2016,389,,,,,,,,
6/1/2016,461,,,,,,,,
6/2/2016,455,,,,,,,,
6/3/2016,330,,,,,,,,
6/4/2016,35,,,,,,,,
6/5/2016,52,,,,,,,,
6/6/2016,415,,,,,,,,
6/7/2016,476,,,,,,,,
