# ----------------------------------------
# Cage Code Site Data
# Site Search Usage
# 20160401-20180407
# ----------------------------------------

Site Search Status,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Visits Without Site Search,"392,050",38.98%,"152,836",26.93%,2.92,00:03:15,0.00%,0,$0.00
Visits With Site Search,"258,816",45.24%,"117,084",8.27%,4.57,00:05:53,0.00%,0,$0.00
,"650,866",41.47%,"269,920",19.51%,3.58,00:04:18,0.00%,0,$0.00

Day Index,Sessions
8/10/17,"1,320"
8/11/17,979
8/12/17,121
8/13/17,176
8/14/17,"1,195"
8/15/17,"1,286"
8/16/17,"1,381"
8/17/17,"1,353"
8/18/17,961
8/19/17,98
8/20/17,183
8/21/17,"1,161"
8/22/17,"1,362"
8/23/17,"1,371"
8/24/17,"1,310"
8/25/17,889
8/26/17,126
8/27/17,200
8/28/17,"1,259"
8/29/17,"1,400"
8/30/17,"1,454"
8/31/17,"1,284"
9/1/17,914
9/2/17,106
9/3/17,143
9/4/17,385
9/5/17,"1,274"
9/6/17,"1,428"
9/7/17,"1,241"
9/8/17,935
9/9/17,126
9/10/17,204
9/11/17,"1,170"
9/12/17,"1,362"
9/13/17,"1,412"
9/14/17,"1,509"
9/15/17,"1,070"
9/16/17,127
9/17/17,176
9/18/17,"1,348"
9/19/17,"1,437"
9/20/17,"1,376"
9/21/17,"1,330"
9/22/17,972
9/23/17,129
9/24/17,173
9/25/17,"1,321"
9/26/17,"1,473"
9/27/17,"1,466"
9/28/17,"1,391"
9/29/17,"1,051"
9/30/17,120
10/1/17,146
10/2/17,"1,180"
10/3/17,"1,373"
10/4/17,"1,382"
10/5/17,"1,245"
10/6/17,869
10/7/17,137
10/8/17,201
10/9/17,"1,104"
10/10/17,"1,371"
10/11/17,"1,411"
10/12/17,"1,388"
10/13/17,987
10/14/17,125
10/15/17,176
10/16/17,"1,447"
10/17/17,"1,422"
10/18/17,"1,395"
10/19/17,"1,337"
10/20/17,934
10/21/17,127
10/22/17,199
10/23/17,"1,359"
10/24/17,"1,464"
10/25/17,"1,525"
10/26/17,"1,330"
10/27/17,"1,036"
10/28/17,138
10/29/17,241
10/30/17,"1,361"
10/31/17,"1,267"
11/1/17,"1,308"
11/2/17,"1,328"
11/3/17,918
11/4/17,132
11/5/17,215
11/6/17,"1,423"
11/7/17,"1,489"
11/8/17,"1,530"
11/9/17,"1,354"
11/10/17,878
11/11/17,125
11/12/17,249
11/13/17,"1,391"
11/14/17,"1,424"
11/15/17,"1,491"
11/16/17,"1,504"
11/17/17,"1,044"
11/18/17,138
11/19/17,220
11/20/17,"1,368"
11/21/17,"1,404"
11/22/17,"1,108"
11/23/17,383
11/24/17,346
11/25/17,137
11/26/17,211
11/27/17,"1,342"
11/28/17,"1,455"
11/29/17,"1,515"
11/30/17,"1,385"
12/1/17,979
12/2/17,124
12/3/17,286
12/4/17,"1,298"
12/5/17,"1,424"
12/6/17,"1,484"
12/7/17,"1,428"
12/8/17,950
12/9/17,121
12/10/17,215
12/11/17,"1,426"
12/12/17,"1,348"
12/13/17,"1,396"
12/14/17,"1,314"
12/15/17,898
12/16/17,120
12/17/17,207
12/18/17,"1,300"
12/19/17,"1,317"
12/20/17,"1,238"
12/21/17,"1,075"
12/22/17,564
12/23/17,83
12/24/17,94
12/25/17,168
12/26/17,513
12/27/17,653
12/28/17,648
12/29/17,431
12/30/17,66
12/31/17,57
1/1/18,133
1/2/18,980
1/3/18,"1,240"
