# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Other Categories,,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Other Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Reality Shows,"3,767","3,120","6,264",15.71%,3.9,0:03:46,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Laptops & Notebooks,"3,731","2,989","6,838",17.29%,3.68,0:03:57,0.00%,0,$0.00 
Law & Government/Military/Navy,"3,691","2,780","7,156",14.91%,3.86,0:04:35,0.00%,0,$0.00 
Computers & Electronics/CAD & CAM,"3,601","2,692","8,753",15.71%,3.74,0:04:53,0.00%,0,$0.00 
Internet & Telecom/Search Engines,"3,527","2,921","6,831",19.37%,3.65,0:04:01,0.00%,0,$0.00 
Jobs & Education/Education/Primary & Secondary Schooling (K-12),"3,525","2,861","6,251",20.46%,4.29,0:04:20,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics/Mail & Package Delivery,"3,498","2,600","9,743",24.68%,3.13,0:03:37,0.00%,0,$0.00 
Internet & Telecom/Service Providers/ISPs,"3,491","2,938","5,982",17.13%,3.65,0:03:45,0.00%,0,$0.00 
Home & Garden/Gardening & Landscaping,"3,472","2,793","5,797",17.94%,3.4,0:03:28,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories,"3,435","2,393","7,870",18.68%,3.59,0:04:29,0.00%,0,$0.00 
Shopping/Auctions,"3,434","2,876","6,981",22.58%,3.4,0:04:30,0.00%,0,$0.00 
Finance/Investing/Stocks & Bonds,"3,414","2,971","5,880",13.93%,3.83,0:03:54,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Rap & Hip-Hop,"3,401","2,783","7,508",22.00%,3.38,0:05:29,0.00%,0,$0.00 
Reference/Geographic Reference/Maps,"3,384","2,656","5,909",19.36%,3.5,0:03:47,0.00%,0,$0.00 
Home & Garden/HVAC & Climate Control,"3,349","2,444","6,934",19.21%,3.59,0:05:03,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Engine & Transmission,"3,340","2,502","7,198",19.64%,3.44,0:04:18,0.00%,0,$0.00 
Reference/Humanities/History,"3,253","2,525","5,596",16.67%,3.59,0:03:54,0.00%,0,$0.00 
Finance/Investing,"3,195","2,663","5,287",16.93%,3.96,0:04:02,0.00%,0,$0.00 
Autos & Vehicles/Boats & Watercraft,"3,097","2,530","6,200",16.03%,3.75,0:04:24,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Type)/Motorcycles,"3,082","2,444","5,969",18.85%,3.57,0:04:01,0.00%,0,$0.00 
Sports/Individual Sports/Golf,"3,075","2,551","5,347",12.32%,3.64,0:03:23,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Shopping/Used Vehicles,"3,036","2,482","5,558",18.71%,3.7,0:03:19,0.00%,0,$0.00 
Computers & Electronics/Electronics & Electrical/Data Sheets & Electronics Reference,"2,998","2,001","8,687",17.74%,3.71,0:04:48,0.00%,0,$0.00 
Internet & Telecom/Service Providers/Phone Service Providers,"2,969","2,283","5,670",22.50%,3.3,0:04:27,0.00%,0,$0.00 
Home & Garden/Home & Interior Decor,"2,954","2,437","5,381",19.33%,3.87,0:04:50,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Country Music,"2,929","2,356","6,278",20.99%,3.3,0:03:56,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Rock Music/Classic Rock & Oldies,"2,906","2,260","6,483",16.97%,3.49,0:04:37,0.00%,0,$0.00 
