# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Other Categories,,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Other Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Finance/Insurance,531,416,915,19.13%,4.39,0:04:55,0.00%,0,$0.00 
Law & Government/Government/Multilateral Organizations,531,438,842,18.88%,3.5,0:05:02,0.00%,0,$0.00 
Computers & Electronics/Programming/Java (Programming Language),528,445,864,21.88%,3.56,0:04:28,0.00%,0,$0.00 
Online Communities/Forum & Chat Providers,527,454,852,19.01%,4.08,0:04:04,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Components/Computer Memory,521,377,969,15.17%,4.52,0:05:06,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Game Systems & Consoles/Sony PlayStation,519,373,"1,035",25.31%,3.48,0:04:40,0.00%,0,$0.00 
Arts & Entertainment/Visual Art & Design/Painting,518,416,952,20.59%,3.39,0:03:55,0.00%,0,$0.00 
People & Society/Family & Relationships/Romance,514,418,817,20.32%,3.16,0:03:49,0.00%,0,$0.00 
Home & Garden/Kitchen & Dining/Small Kitchen Appliances/Coffee & Espresso Makers,508,394,"1,007",21.55%,3.19,0:03:15,0.00%,0,$0.00 
"Home & Garden/Kitchen & Dining/Major Kitchen Appliances/Ranges, Cooktops & Ovens",504,374,995,22.31%,2.99,0:04:39,0.00%,0,$0.00 
Internet & Telecom/Email & Messaging/Voice & Video Chat,500,424,736,17.53%,3.13,0:02:41,0.00%,0,$0.00 
Law & Government/Public Safety/Emergency Services,497,399,801,12.73%,3.41,0:03:59,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Nissan,496,363,895,15.20%,3.11,0:03:05,0.00%,0,$0.00 
Finance/Insurance/Vehicle Insurance/Auto Insurance,494,376,"1,005",17.41%,4.26,0:05:52,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/World Music/Arab & Middle Eastern Music,493,397,"1,238",25.61%,3.11,0:03:26,0.00%,0,$0.00 
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons/iOS Apps,493,416,810,20.12%,3.12,0:03:08,0.00%,0,$0.00 
Computers & Electronics/Computer Security,488,394,752,16.49%,3.95,0:04:09,0.00%,0,$0.00 
Home & Garden/Home Improvement/Roofing,485,376,798,12.41%,5.03,0:07:05,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Radio/Talk Radio,484,399,"1,052",15.78%,3.55,0:04:21,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/Latin American Cuisine/Mexican Cuisine,484,377,980,22.45%,2.91,0:03:40,0.00%,0,$0.00 
Business & Industrial/Business Operations/Management/Business Process,481,378,967,16.86%,4.25,0:10:54,0.00%,0,$0.00 
Business & Industrial/Agriculture & Forestry/Livestock,478,372,745,19.06%,3.34,0:03:23,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Audio Equipment/Stereo Systems & Components,478,357,984,18.80%,3.52,0:05:08,0.00%,0,$0.00 
Games/Card Games,478,425,"1,105",15.20%,3.6,0:03:38,0.00%,0,$0.00 
Home & Garden/Home Furnishings/Living Room Furniture/Sofas & Armchairs,478,374,870,20.57%,3.52,0:05:00,0.00%,0,$0.00 
Business & Industrial/Energy & Utilities/Electricity,476,356,821,16.20%,4.24,0:04:45,0.00%,0,$0.00 
Arts & Entertainment/Movies/Animated Films,474,385,855,19.53%,3.66,0:05:22,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Folk & Traditional Music,471,356,"1,052",18.35%,3.3,0:03:56,0.00%,0,$0.00 
Arts & Entertainment/Visual Art & Design,470,351,900,22.89%,3.09,0:04:36,0.00%,0,$0.00 
Computers & Electronics/Networking/VPN & Remote Access,470,389,788,22.84%,3.01,0:04:02,0.00%,0,$0.00 
Computers & Electronics/Programming/C & C++,470,386,808,17.57%,4.91,0:05:16,0.00%,0,$0.00 
Food & Drink/Food/Snack Foods,470,333,904,20.80%,3.04,0:03:56,0.00%,0,$0.00 
Sports/Combat Sports/Wrestling,466,359,933,23.90%,2.92,0:02:48,0.00%,0,$0.00 
Business & Industrial/Pharmaceuticals & Biotech,464,376,995,21.11%,3.27,0:05:39,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Car Electronics/Car Audio,464,360,792,20.20%,3.42,0:03:42,0.00%,0,$0.00 
Computers & Electronics/Electronics & Electrical/Optoelectronics & Fiber,463,227,"1,853",21.91%,4.06,0:07:03,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Subaru,459,354,682,13.93%,3.5,0:03:01,0.00%,0,$0.00 
Books & Literature/Poetry,457,369,775,23.35%,3.46,0:03:38,0.00%,0,$0.00 
Business & Industrial/Business Services/Corporate Events/Trade Fairs & Industry Shows,457,363,817,19.34%,3.6,0:03:18,0.00%,0,$0.00 
Business & Industrial/Textiles & Nonwovens,457,300,"1,006",14.91%,5.05,0:06:32,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Audi,454,368,783,14.69%,3.43,0:03:41,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Tesla Motors,454,377,727,12.52%,3.3,0:02:45,0.00%,0,$0.00 
Shopping/Apparel/Clothing Accessories/Handbags & Purses,454,355,797,17.19%,3.46,0:04:22,0.00%,0,$0.00 
Business & Industrial/Business Finance,451,387,630,15.40%,3.58,0:03:00,0.00%,0,$0.00 
Business & Industrial/Business Operations/Human Resources/Recruitment & Staffing,451,382,755,20.79%,3.05,0:02:31,0.00%,0,$0.00 
Business & Industrial/Business Finance/Venture Capital,449,394,583,18.35%,3.2,0:02:44,0.00%,0,$0.00 
People & Society/Social Issues & Advocacy/Green Living & Environmental Issues,449,367,727,17.47%,3.33,0:02:59,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Rock Music/Hard Rock & Progressive,448,313,"1,267",20.21%,3.1,0:04:18,0.00%,0,$0.00 
Business & Industrial/Construction & Maintenance,448,324,748,17.78%,3.73,0:04:12,0.00%,0,$0.00 
Computers & Electronics/Networking/Data Formats & Protocols,444,360,688,20.06%,3.14,0:03:10,0.00%,0,$0.00 
Shopping/Apparel/Casual Apparel/T-Shirts,444,347,879,22.41%,3.73,0:06:40,0.00%,0,$0.00 
Autos & Vehicles/Bicycles & Accessories,440,339,872,17.09%,4.17,0:04:56,0.00%,0,$0.00 
People & Society/Social Issues & Advocacy/Work & Labor Issues/Unions & Labor Movement,440,317,737,16.15%,3.29,0:03:04,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Dodge,437,331,753,13.68%,3.34,0:03:16,0.00%,0,$0.00 
Home & Garden/Home Furnishings/Rugs & Carpets,437,373,600,15.17%,3.33,0:02:59,0.00%,0,$0.00 
People & Society/Family & Relationships/Family/Parenting,434,367,631,14.26%,4.01,0:03:12,0.00%,0,$0.00 
Real Estate/Real Estate Services/Real Estate Agencies,434,344,858,18.65%,3.77,0:04:38,0.00%,0,$0.00 
Law & Government/Military/Marines,433,326,737,16.96%,3.65,0:04:03,0.00%,0,$0.00 
Computers & Electronics/Programming/Development Tools,432,348,744,21.10%,3.68,0:04:26,0.00%,0,$0.00 
Finance/Banking/Money Transfer & Wire Services,429,333,890,19.55%,5.49,0:04:08,0.00%,0,$0.00 
Pets & Animals/Pets/Fish & Aquaria,427,344,721,24.41%,3.08,0:02:55,0.00%,0,$0.00 
Shopping/Apparel/Casual Apparel,424,335,750,15.47%,3.09,0:02:41,0.00%,0,$0.00 
Law & Government/Legal/Business & Corporate Law,423,330,898,25.72%,3.37,0:07:06,0.00%,0,$0.00 
Food & Drink/Restaurants/Pizzerias,421,330,608,17.43%,3.49,0:02:47,0.00%,0,$0.00 
Arts & Entertainment/Performing Arts/Dance,420,339,706,20.68%,3.59,0:05:30,0.00%,0,$0.00 
Business & Industrial/Metals & Mining/Precious Metals,420,343,701,17.55%,3.38,0:03:13,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Auto Interior,419,291,"1,053",23.17%,3.07,0:03:51,0.00%,0,$0.00 
Games/Card Games/Collectible Card Games,419,356,"1,040",22.50%,3.56,0:06:38,0.00%,0,$0.00 
Shopping/Apparel/Undergarments,418,341,637,19.31%,3.38,0:02:54,0.00%,0,$0.00 
Arts & Entertainment/Movies/Horror Films,416,329,733,23.19%,3.05,0:03:10,0.00%,0,$0.00 
Internet & Telecom/Service Providers,416,350,749,16.42%,3.82,0:04:24,0.00%,0,$0.00 
Home & Garden/Home Appliances/Vacuums & Floor Care,415,329,755,25.17%,3.16,0:02:51,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Drives & Storage/Data Backup & Recovery,414,327,656,19.51%,3.43,0:03:22,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Reggaeton,411,325,872,24.89%,3.02,0:03:20,0.00%,0,$0.00 
Sports/Individual Sports/Gymnastics,411,312,652,13.80%,3.88,0:03:12,0.00%,0,$0.00 
Travel/Tourist Destinations/Mountain & Ski Resorts,410,325,699,15.45%,3.23,0:02:55,0.00%,0,$0.00 
"Business & Industrial/Transportation & Logistics/Mail & Package Delivery/Couriers, Messengers & Home Delivery Services",408,275,883,19.37%,3,0:03:09,0.00%,0,$0.00 
Food & Drink/Restaurants/Restaurant Reviews & Reservations,407,295,762,14.17%,3.86,0:03:59,0.00%,0,$0.00 
Sports/Team Sports/Rugby,407,325,830,18.67%,3.84,0:03:01,0.00%,0,$0.00 
Food & Drink/Food/Breakfast Foods,399,320,582,15.98%,3.29,0:02:51,0.00%,0,$0.00 
Business & Industrial/Business Operations/Management/Strategic Planning,398,333,605,19.34%,3.33,0:03:12,0.00%,0,$0.00 
Science/Earth Sciences/Geology,395,304,667,16.04%,3.64,0:04:19,0.00%,0,$0.00 
Internet & Telecom/Mobile & Wireless/Mobile & Wireless Accessories/Bluetooth Accessories,394,297,635,22.05%,3.25,0:02:46,0.00%,0,$0.00 
Business & Industrial/Energy & Utilities/Waste Management,391,295,729,18.79%,4.8,0:07:50,0.00%,0,$0.00 
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/Halloween & October 31st,391,311,562,16.01%,3.83,0:03:44,0.00%,0,$0.00 
Law & Government/Government/State & Local Government,390,322,577,15.42%,3.34,0:03:56,0.00%,0,$0.00 
Reference/Humanities/Myth & Folklore,387,301,705,19.29%,2.92,0:03:00,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Mazda,384,288,917,21.92%,2.96,0:04:00,0.00%,0,$0.00 
Home & Garden/Home Furnishings/Outdoor Furniture,380,299,691,16.64%,3.24,0:03:51,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Talent & Variety Shows,377,312,721,28.71%,3.01,0:03:00,0.00%,0,$0.00 
Food & Drink/Food/Meat & Seafood,377,288,621,19.16%,3.17,0:02:40,0.00%,0,$0.00 
Shopping/Apparel/Children's Clothing,377,281,669,14.50%,4.21,0:04:37,0.00%,0,$0.00 
Finance/Financial Planning & Management,376,295,545,17.98%,3.2,0:03:06,0.00%,0,$0.00 
Science/Earth Sciences/Water & Marine Sciences,376,284,664,17.17%,3.51,0:03:49,0.00%,0,$0.00 
Shopping/Apparel/Athletic Apparel,374,312,591,23.69%,3.4,0:02:57,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics/Wearable Technology/Smart Watches,373,301,588,20.58%,3.23,0:03:40,0.00%,0,$0.00 
Food & Drink/Restaurants/Fast Food/Burgers,373,286,631,20.92%,3.3,0:03:07,0.00%,0,$0.00 
Business & Industrial/Printing & Publishing,372,304,570,18.95%,4.14,0:05:29,0.00%,0,$0.00 
Games/Computer & Video Games/Adventure Games,372,316,658,22.64%,3.05,0:03:14,0.00%,0,$0.00 
Home & Garden/Kitchen & Dining/Small Kitchen Appliances,372,301,652,16.26%,3.22,0:03:23,0.00%,0,$0.00 
Arts & Entertainment/Events & Listings,371,294,676,19.82%,3.03,0:02:51,0.00%,0,$0.00 
Shopping/Apparel,371,296,604,20.36%,3.4,0:03:44,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/East Asian Cuisine/Japanese Cuisine,367,265,661,19.21%,4.87,0:04:01,0.00%,0,$0.00 
Games/Board Games/Chess & Abstract Strategy Games,365,278,661,13.46%,3.68,0:03:13,0.00%,0,$0.00 
Home & Garden/Yard & Patio/Barbecues & Grills,365,284,596,16.44%,3.34,0:02:38,0.00%,0,$0.00 
Shopping/Toys/Outdoor Toys & Play Equipment,361,283,553,21.16%,3.27,0:02:46,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Commercials,360,261,783,16.99%,3.79,0:04:09,0.00%,0,$0.00 
Books & Literature/Literary Classics,357,266,613,16.31%,3.06,0:03:37,0.00%,0,$0.00 
Games/Computer & Video Games,357,286,626,19.17%,3.22,0:03:10,0.00%,0,$0.00 
Shopping/Apparel/Costumes,357,274,630,16.51%,3.42,0:04:16,0.00%,0,$0.00 
Autos & Vehicles/Bicycles & Accessories/Bike Parts & Repair,356,292,664,19.28%,3.03,0:02:43,0.00%,0,$0.00 
Computers & Electronics/Software/Multimedia Software/Media Players,355,301,511,22.70%,3.18,0:03:01,0.00%,0,$0.00 
Shopping/Toys/Dolls & Accessories,354,286,553,28.57%,2.92,0:03:06,0.00%,0,$0.00 
Science/Earth Sciences/Paleontology,352,262,622,16.56%,3.54,0:04:41,0.00%,0,$0.00 
Business & Industrial/Energy & Utilities/Waste Management/Recycling,351,267,599,18.36%,3.66,0:05:00,0.00%,0,$0.00 
Arts & Entertainment/Offbeat,350,291,549,15.85%,3.44,0:03:18,0.00%,0,$0.00 
Business & Industrial/Business Operations/Human Resources/Corporate Training,350,296,524,20.23%,3.08,0:02:22,0.00%,0,$0.00 
Food & Drink/Food/Meat & Seafood/Pork,350,282,494,13.56%,3.15,0:02:14,0.00%,0,$0.00 
Home & Garden/Laundry,350,254,588,16.50%,4.13,0:04:57,0.00%,0,$0.00 
Beauty & Fitness/Fitness,348,265,787,26.30%,3.03,0:04:21,0.00%,0,$0.00 
Business & Industrial/Business Services/E-Commerce Services/Merchant Services & Payment Systems,347,265,505,19.21%,3.63,0:05:08,0.00%,0,$0.00 
Sports/Individual Sports/Track & Field,347,254,565,16.81%,4.36,0:05:56,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Rock Music/Punk (Music),344,253,742,21.16%,2.76,0:02:59,0.00%,0,$0.00 
Sports/Winter Sports/Ice Skating,344,257,742,28.71%,3.22,0:03:16,0.00%,0,$0.00 
Travel/Travel Agencies & Services/Vacation Offers,344,275,643,22.08%,3.9,0:06:15,0.00%,0,$0.00 
Law & Government/Government,343,262,515,15.73%,3.58,0:04:00,0.00%,0,$0.00 
Pets & Animals/Pets/Horses,343,292,539,15.03%,3.23,0:02:46,0.00%,0,$0.00 
Sports/Winter Sports/Skiing & Snowboarding,343,275,536,13.06%,4.11,0:04:06,0.00%,0,$0.00 
Internet & Telecom/Email & Messaging/Text & Instant Messaging,341,288,545,15.60%,3.89,0:02:44,0.00%,0,$0.00 
"Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Scanners",338,261,595,16.81%,4.03,0:06:05,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand),335,274,818,31.42%,3.35,0:05:54,0.00%,0,$0.00 
News/Business News/Company News/Company Earnings,335,287,508,14.96%,3.98,0:05:00,0.00%,0,$0.00 
Shopping/Apparel/Clothing Accessories,335,244,586,18.09%,3.02,0:02:35,0.00%,0,$0.00 
Travel/Tourist Destinations/Historical Sites & Buildings,334,249,498,18.27%,3.3,0:02:37,0.00%,0,$0.00 
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/Birthdays & Name Days,330,258,562,24.38%,3.26,0:02:48,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Porsche,329,271,515,18.45%,3.41,0:03:05,0.00%,0,$0.00 
Home & Garden/Home Appliances/Water Filters & Purifiers,329,248,708,18.08%,3.95,0:06:21,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments,325,239,988,23.89%,3.51,0:08:31,0.00%,0,$0.00 
Beauty & Fitness/Face & Body Care/Hygiene & Toiletries,324,241,823,26.49%,3.57,0:04:39,0.00%,0,$0.00 
Books & Literature/Children's Literature,322,265,573,20.77%,3.82,0:05:25,0.00%,0,$0.00 
Business & Industrial/Automotive Industry,322,248,541,14.42%,4.1,0:04:10,0.00%,0,$0.00 
Business & Industrial/Manufacturing/Factory Automation,322,224,712,24.86%,3.66,0:05:24,0.00%,0,$0.00 
Food & Drink/Beverages/Soft Drinks,322,269,571,18.56%,3.79,0:04:27,0.00%,0,$0.00 
Home & Garden/Laundry/Washers & Dryers,321,241,678,25.07%,3.19,0:03:04,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Game Shows,320,253,441,12.47%,3.67,0:03:16,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Game Systems & Consoles/Xbox,320,258,543,18.78%,3.84,0:04:14,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Soundtracks,317,241,671,14.16%,3.6,0:06:01,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics,317,254,536,28.17%,3.32,0:03:04,0.00%,0,$0.00 
Business & Industrial/Business Operations/Management,314,244,514,23.93%,2.96,0:03:16,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics/Moving & Relocation,314,228,605,19.34%,4.44,0:05:47,0.00%,0,$0.00 
Arts & Entertainment/Performing Arts/Broadway & Musical Theater,312,252,758,15.30%,3.71,0:05:59,0.00%,0,$0.00 
Computers & Electronics/Networking,312,239,518,17.95%,4.21,0:06:29,0.00%,0,$0.00 
Beauty & Fitness/Fitness/Fitness Equipment & Accessories/Fitness Technology Products,311,244,483,16.15%,4.41,0:04:56,0.00%,0,$0.00 
Beauty & Fitness/Beauty Pageants,309,251,549,26.59%,3.2,0:03:44,0.00%,0,$0.00 
Law & Government/Government/Public Finance,309,235,455,18.68%,3.18,0:03:19,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Type)/Trucks & SUVs/Vans & Minivans,308,258,455,13.85%,3.34,0:02:44,0.00%,0,$0.00 
Finance/Investing/Stocks & Bonds/Bonds,308,253,561,16.93%,3.35,0:03:12,0.00%,0,$0.00 
Sports/Water Sports/Surfing,307,261,801,12.73%,4.1,0:04:08,0.00%,0,$0.00 
Autos & Vehicles/Custom & Performance Vehicles,305,245,519,19.27%,3.31,0:02:58,0.00%,0,$0.00 
Games/Computer & Video Games/Action & Platform Games,305,254,667,30.13%,2.79,0:02:30,0.00%,0,$0.00 
Jobs & Education/Jobs/Job Listings/Government & Public Sector Jobs,304,119,"2,224",25.94%,3.75,0:10:06,0.00%,0,$0.00 
Shopping/Apparel/Footwear/Boots,304,224,472,15.47%,3.52,0:03:26,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Volvo,303,256,561,15.86%,3.84,0:05:52,0.00%,0,$0.00 
Shopping/Apparel/Swimwear,303,243,568,24.65%,2.68,0:03:24,0.00%,0,$0.00 
Sports/Water Sports/Swimming,303,231,479,15.45%,3.65,0:03:48,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/Mediterranean Cuisine/Italian Cuisine,301,243,501,21.16%,3.43,0:05:48,0.00%,0,$0.00 
Arts & Entertainment/Fun & Trivia/Flash-Based Entertainment,300,265,500,24.20%,3.13,0:03:02,0.00%,0,$0.00 
Beauty & Fitness/Face & Body Care/Perfumes & Fragrances,299,215,603,24.88%,3.52,0:03:12,0.00%,0,$0.00 
Computers & Electronics/Networking/Network Monitoring & Management,295,245,455,16.92%,3.16,0:03:15,0.00%,0,$0.00 
Internet & Telecom/Mobile & Wireless,295,234,531,17.89%,3.69,0:04:00,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Hyundai,294,220,557,17.41%,3.36,0:05:20,0.00%,0,$0.00 
Beauty & Fitness/Fashion & Style/Fashion Modeling,294,258,446,14.35%,3.54,0:03:23,0.00%,0,$0.00 
Science/Biological Sciences,291,223,432,16.20%,3.04,0:02:44,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/World Music/Reggae & Caribbean Music,290,210,980,20.61%,3.85,0:09:48,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration/Driving Instruction & Driver Education,290,218,395,18.73%,3.81,0:03:32,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/South Asian Cuisine/Indian Cuisine,290,241,604,22.85%,3,0:03:00,0.00%,0,$0.00 
Real Estate/Real Estate Listings/Commercial Properties,288,236,652,20.55%,2.92,0:03:23,0.00%,0,$0.00 
Jobs & Education/Education/Academic Conferences & Publications,286,241,450,17.78%,3.86,0:05:01,0.00%,0,$0.00 
Jobs & Education/Education/Training & Certification,286,230,453,15.23%,3.16,0:02:43,0.00%,0,$0.00 
People & Society/Family & Relationships/Family/Parenting/Babies & Toddlers/Baby Feeding,286,235,425,16.94%,3.48,0:02:51,0.00%,0,$0.00 
Online Communities/Online Goodies/Social Network Apps & Add-Ons,283,236,506,18.58%,4.34,0:05:00,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/World Music/Latin American Music,281,211,568,18.84%,3.14,0:03:27,0.00%,0,$0.00 
Home & Garden/Home Furnishings/Curtains & Window Treatments,279,227,418,13.40%,3.42,0:03:24,0.00%,0,$0.00 
Science/Ecology & Environment/Climate Change & Global Warming,279,220,464,14.01%,5.41,0:04:46,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Televisions/HDTVs,278,198,476,10.71%,3.42,0:03:54,0.00%,0,$0.00 
Science/Computer Science/Machine Learning & Artificial Intelligence,278,231,442,21.04%,3.52,0:04:15,0.00%,0,$0.00 
Arts & Entertainment/Performing Arts/Acting & Theater,277,215,463,19.22%,3.52,0:03:13,0.00%,0,$0.00 
Shopping/Toys/Building Toys,277,228,478,25.10%,2.73,0:02:41,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Drives & Storage/Network Storage,275,218,475,16.00%,4.17,0:05:47,0.00%,0,$0.00 
Business & Industrial/Business Services/Consulting,273,235,386,20.21%,4.36,0:03:32,0.00%,0,$0.00 
Travel/Tourist Destinations,273,190,448,14.06%,3.08,0:02:36,0.00%,0,$0.00 
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/New Year,271,190,509,17.88%,3.17,0:03:33,0.00%,0,$0.00 
People & Society/Social Sciences/Political Science/International Relations,271,206,427,13.82%,3.18,0:03:15,0.00%,0,$0.00 
"Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines",270,193,510,15.88%,3.45,0:03:15,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Home Automation,270,236,385,20.78%,4.37,0:04:08,0.00%,0,$0.00 
Sports/Extreme Sports,270,206,596,20.97%,3.15,0:04:57,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Home Theater Systems,269,214,508,20.47%,2.78,0:03:00,0.00%,0,$0.00 
Science/Biological Sciences/Anatomy,269,192,433,18.48%,4.66,0:04:33,0.00%,0,$0.00 
Arts & Entertainment/Entertainment Industry/Recording Industry/Music Awards,267,198,475,19.58%,3.3,0:03:33,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Projectors & Screens,267,215,510,16.67%,3.53,0:04:05,0.00%,0,$0.00 
Computers & Electronics/Enterprise Technology,265,196,641,15.91%,4.16,0:05:48,0.00%,0,$0.00 
Finance/Credit & Lending/Loans/Vehicle Financing/Auto Financing,265,214,410,14.39%,3.82,0:03:47,0.00%,0,$0.00 
Business & Industrial/Printing & Publishing/Document & Printing Services,261,194,377,14.85%,3.17,0:03:05,0.00%,0,$0.00 
Real Estate/Real Estate Listings/Lots & Land,261,207,347,17.00%,3.44,0:02:40,0.00%,0,$0.00 
Travel/Tourist Destinations/Lakes & Rivers,261,190,398,13.82%,3.23,0:03:05,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle & Traffic Safety,260,193,414,16.91%,3.68,0:03:53,0.00%,0,$0.00 
Business & Industrial/Business Operations/Management/Project Management,260,213,415,20.48%,3.55,0:04:44,0.00%,0,$0.00 
Hobbies & Leisure/Outdoors,260,204,442,14.48%,3.6,0:04:06,0.00%,0,$0.00 
Reference/Technical Reference,260,172,601,15.14%,3.89,0:05:31,0.00%,0,$0.00 
Home & Garden/Yard & Patio/Lawn Mowers,258,184,484,15.91%,3.43,0:03:54,0.00%,0,$0.00 
Food & Drink/Food/Condiments & Dressings,257,198,390,15.38%,3.2,0:02:45,0.00%,0,$0.00 
Computers & Electronics/Software/Open Source,256,204,406,24.14%,4,0:04:26,0.00%,0,$0.00 
Finance/Investing/Brokerages & Day Trading,256,214,500,28.40%,3.59,0:05:05,0.00%,0,$0.00 
Reference/Directories & Listings,256,187,735,43.81%,2.49,0:03:41,0.00%,0,$0.00 
Shopping/Gifts & Special Event Items/Flowers,256,189,397,20.65%,3.01,0:02:16,0.00%,0,$0.00 
Sports/Sports Coaching & Training,256,207,458,19.00%,2.88,0:03:08,0.00%,0,$0.00 
Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Video Software,254,213,508,23.62%,4.02,0:05:15,0.00%,0,$0.00 
Computers & Electronics/Software/Internet Software/Proxying & Filtering,253,205,464,19.18%,4.72,0:04:49,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Camera & Photo Equipment/Cameras & Camcorders/Camera Lenses,252,209,468,20.09%,4.18,0:04:31,0.00%,0,$0.00 
Shopping/Photo & Video Services/Stock Photography,251,202,384,17.71%,3.05,0:02:05,0.00%,0,$0.00 
Business & Industrial/Business Services/Signage,249,177,471,22.08%,3.67,0:04:06,0.00%,0,$0.00 
Food & Drink/Food/Herbs & Spices,248,205,390,15.13%,3.81,0:03:48,0.00%,0,$0.00 
Home & Garden,248,177,479,21.71%,3.4,0:03:47,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/GMC,247,198,380,12.63%,3.61,0:03:42,0.00%,0,$0.00 
Business & Industrial/Business Services/E-Commerce Services,247,177,480,18.54%,3.69,0:04:17,0.00%,0,$0.00 
Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Video Software/Video File Formats & Codecs,247,210,368,24.18%,3.08,0:03:28,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics/Urban Transport,245,184,398,15.08%,3.97,0:04:02,0.00%,0,$0.00 
Finance/Insurance/Life Insurance,244,196,381,24.67%,3.54,0:03:27,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/East Asian Cuisine/Chinese Cuisine,243,183,453,15.89%,3.57,0:03:48,0.00%,0,$0.00 
News/World News,243,180,521,21.88%,3.32,0:04:55,0.00%,0,$0.00 
Beauty & Fitness/Fitness/Yoga & Pilates,239,185,418,30.38%,4.67,0:04:02,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Televisions/LCD TVs,239,172,401,12.97%,3.78,0:04:00,0.00%,0,$0.00 
Pets & Animals/Animal Products & Services,239,183,389,19.54%,3.01,0:02:56,0.00%,0,$0.00 
Books & Literature/Book Retailers,237,183,432,17.82%,6.71,0:08:59,0.00%,0,$0.00 
